text,mergedTextualRating,month
Fort Hamilton Brooklyn Barrel-Aged Maple Syrup gets its flavor from a stint in a recycled liquor barrel in Industry City.,true,1
"Éric Zemmour, a pundit whose presidential run has upended French politics, had called unaccompanied migrant children “murderers” and “rapists” on television.",true,1
"In his latest works, the artist Troy Lamarr Chew II has embedded references to the Bart Simpson, the Shopping Cart and many other familiar moves.",true,1
Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,false,1
"The country is a rare pandemic success story, with recent visitor numbers far surpassing those of most other Caribbean destinations. Easy entry rules are a draw, but some residents are uneasy.",true,1
"Ocasio-Cortez tweeted she got COVID-19 because of climate change, racism",false,1
"Tears based on different emotions have distinct molecules, all of which can look different when analyzed under a microscope.",false,1
Joe Rogan argued on his podcast that hamburgers were made from ham.,false,1
"“Of course, we’ve heard story after story. I mean, all these athletes dropping dead on the field, but we’re supposed to ignore that.”",false,1
A mammoth tractor-trailer is hauling a tank from a decommissioned nuclear training site for disassembly near Pittsburgh. Top speed: 30 m.p.h.,true,1
"As the pandemic rages on, the safest place to work out is at home. Here’s how to create a personal gym you’ll want to spend time in.",true,1
Here’s what sports marketers are doing to win back a lost generation and save the future of fandom.,true,1
Four players were forced out of the Australian Open due to chest pains,false,1
"250,000 trucks are participating in the “Freedom Convoy” in Canada.",false,1
"On average, between 1 in 2,000 and 1 in 3,000 children that receive these vaccines will be hospitalized in the short term with vaccine-caused damage.",false,1
The rule that a trial judge cannot ask what happened in the jury room could block an attempt by Ms. Maxwell’s lawyers to overturn the verdict.,true,1
A woman believes her husband is tracking vermin residue into their apartment.,true,1
NYPD arrested people for trying to enter a museum without vaccination proof,false,1
CDC director said over 75% of people who died from COVID had at least four comorbidities,false,1
The combination has roots in Spain — but here the union has a distinct Floridian flair.,true,1
"A harsh portrait of pay inequality at the company, premiering at Sundance on Monday, was directed by the granddaughter of one of the founders.",true,1
"“In New York state, if you’re white, you have to go to the back of the line to get medical help.”",false,1
John Elway is financially broke.,false,1
"In this lesson, students will learn about the unfolding conflict between Russia and Ukraine, and consider what is at stake for the rest of the world.",true,1
"Though Democrats do not need to worry about Republicans using a filibuster against the forthcoming nominee, winning confirmation is no slam dunk.",true,1
"An old episode of ""The Simpsons"" predicted the 2022 ""freedom convoy"" trucker protest in Canada.",false,1
"Says Voltaire said, “To learn who rules over you, simply find out who you are not allowed to criticize.”",false,1
"After Novak Djokovic’s immigration troubles, he is gone, but don’t worry: Plenty of other stars and story lines are ready for the spotlight.",true,1
“Governor Kate Brown wants to make Oregon’s mask mandate PERMANENT.”,true,1
The Middlesex County borough offers a sense of community and a diversity that feels ‘like being in Brooklyn.’ But the housing market is ‘very tight.’,true,1
Adolf Hitler painted the townhouse watercolor artwork that appears in a meme.,true,1
Democratic Senatorial Campaign Committee,false,1
Image shows a patient experiencing claustrophobia and having a panic attack during a CT scan.,false,1
Data show the vaccinated are more likely to get omicron than unvaccinated,false,1
Debut rocket launches and robotic lunar missions will make the New Year a crucial prelude to putting astronauts back on the moon.,true,1
"At a checkpoint in Texas in October, federal prosecutors said, Border Patrol agents found two men from Mexico hidden in a coffin.",true,1
"The New York Times obtained footage of the botched strike in Kabul, whose victims included seven children, through a Freedom of Information Act lawsuit.",true,1
"The quarterback, 39, spent all of his 18 seasons in the N.F.L. with the Steelers. His career was overshadowed by injuries and sexual assault allegations.",true,1
“This country’s working people actually got a raise.”,false,1
"Transparency and traceability is all the rage when it comes to clothing, and it is finally reaching the tags on the rack.",true,1
"A boy petted an unknown sea creature before realizing what it was and it ""shocked everyone.",false,1
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,false,1
"Several fitness pioneers died young, while inventors in vice industries lived much longer",false,1
Photo shows African youths disfigured by vaccines,false,1
"The area’s culture revolves around a good pastry and coffee from the diverse selection of bakeries, many of which draw inspiration from the Caribbean and Latin America.",true,1
"The musical “Hadestown” and the opera “Eurydice” aim to offer new twists on a Greek myth. But when it comes to their heroine, they only go so far.",true,1
The world No. 1 received an exemption to a rule that players be vaccinated to play in the Australian Open. Government officials said they had the power to overturn it.,true,1
"“The Manhattan DA is actually proposing to downgrade armed robbery to a misdemeanor, and to stop prosecuting resisting arrest.”",false,1
Hochul is an “interim Governor.”,false,1
"Says Chuck Norris recorded a video in response to the Biden administration saying, “Our great country and freedom are under attack.”",false,1
Build Back Better “would be a huge payday for Chinese manufacturing” and “would fill our streets with cars made with Chinese parts.”,false,1
"Says Dennis Miller said that if he didn’t see women protesting the Ghislaine Maxwell trial verdict “you're all frauds. This isn't justice for those women, this is a joke.",false,1
A spat over Covid has exposed friction between the former president and a rising G.O.P. governor unwilling to curb his ambitions.,true,1
"Fraud related to the virus has been a problem since the pandemic began, and the rapid spread of Omicron has created new opportunities.",true,1
"Commenting ""Gg"" can verify whether one's Facebook account is safe",false,1
"WI voter rolls include 120,000 registered to vote for more than 100 years",false,1
"He was part of the Trio Grande, along with Bryan Trottier and Mike Bossy, on teams that won the Stanley Cup four years in a row.",true,1
“Clarence Thomas is about to become the only member of the current Supreme Court who was nominated by a president of one party and confirmed by a Senate controlled by the other party.”,true,1
"People who are fully vaccinated against COVID-19 are prohibited from receiving any type of anesthesia, supposedly because it's a ""great hazard"" and could cause a vaccinated patient to ""die immediately.",false,1
"Utility regulators have proposed slashing the incentives homeowners receive to install solar panels, a long-sought goal of utilities and labor unions.",true,1
"In a 6 to 3 vote, the court blocked the administration’s mandate for large employers.",true,1
Burt Reynolds once dumped horse manure from a helicopter onto the National Enquirer’s Christmas tree.,true,1
Lawyers for the family of Halyna Hutchins filed a petition in New Mexico to appoint a representative who will consider whether to file a suit.,true,1
President Joe Biden received five draft deferments because of his asthma and thus did not serve in the Vietnam War.,true,1
"Ms. Holmes, the Theranos founder, faces up to 20 years in prison for each of four counts that led to a conviction in her federal fraud trial.",true,1
Several deadly assaults on women by their partners appear to have encouraged more victims to speak up in a country where such attacks have rarely been publicly discussed.,true,1
The jobless rate is falling sharply and pay is jumping. That may increase the urgency as the Federal Reserve withdraws economic support.,true,1
Says Supreme Court Justice Sonia Sotomayor was photographed at dinner with Democratic lawmakers.,false,1
"In January 2022, Vice President Kamala Harris said the Jan. 6 U.S. Capitol attack was worse than Pearl Harbor and/or 9/11.",false,1
“Kyle Rittenhouse files $400 million suit against CNN!”,false,1
"The Moriori, whose history of peaceful isolation was shattered by violent subjugation, are fighting to establish themselves as a thriving people alongside the Maori.",true,1
Washington board will vote on using police to enforce child vaccine mandate,false,1
This video shows an anti-vaccine protest by French police,false,1
"Price increases are caused by corporate greed, not inflation",false,1
"Within 30 days of their six-hour first date, Kimberly Chexnayder and Jason White had said “I love you” and moved in together. An engagement came soon after.",true,1
"Hope Hicks, a political adviser who served during former U.S. President Donald Trump's administration, was cast on ""Celebrity Big Brother.",false,1
Incidental COVID-19 hospitalization data proves that hospitalization numbers are inflated and that the situation isn’t as dire as health officials are making it seem.,false,1
Photo shows Jeffrey Epstein and Kamala Harris posing together.,false,1
An image shows the Earth and sun in the same picture,false,1
Feeling stuck on today’s puzzle? We can help.,true,1
“The shots were not studied in pregnant women”; “we have seen 50 times the rate of reporting [in VAERS] per month of miscarriages for this vaccine than the other vaccines put together.”,false,1
Dr. Sanjay Gupta is selling CBD gummies according to a CNN webpage.,false,1
Pioneer Woman launched CBD gummies that reverse Type 1 and Type 2 diabetes,false,1
Sanjay Gupta launched a new line of CBD gummies,false,1
John Guzzetta throws a touchdown with this puzzle.,true,1
Samuel L. Jackson and Martin Luther King Jr. appear in a photo together as King played pool,false,1
"To help ease you into the new year, and perhaps a new exercise routine, a roundup of lines offering clothes both functional and fashion-forward.",true,1
A war game and study by a think tank illustrate how dependent the world is on Taiwan’s semiconductor foundries.,true,1
"Says Pfizer CEO Albert Bourla said: “Two doses of the vaccine offers very limited protection, if any.”",false,1
The ethnic diversity of the island nation shines through food during the two-week festivities.,true,1
"Willie Nelson, Dolly Parton, others are leaving Spotify",false,1
"Photo shows trucks participating in protest against vaccine mandates in Ottawa, Canada",false,1
Some 75% of all COVID-19 deaths involve people with at least four comorbidities.,false,1
"A fourth, $2,000 stimulus payment is being sent out",false,1
COVID-19 vaccines cause fibrous clots in the lungs and blood vessels,false,1
