text,mergedTextualRating,month
"The slow evacuation may be part propaganda, part preparation for a conflict or part feint, Ukrainian and U.S. officials say. It could be all three.",true,1
The new Snapchat crying face filter is inspired by Amber Heard crying during her testimony about her relationship with Johnny Depp during their defamation trial .,false,5
Flurona is the latest variant of the coronavirus,false,1
Photos of leftist vandals thrashed over JNU anti-brahmin graffiti,false,12
"The region’s heat wave was expected to ease somewhat on Friday, with anticipated highs in the mid-90s.",true,8
Video shows a child swearing at Jill Biden during Diwali speech,false,10
Video shows trial for 'crimes against humanity' at 'World Criminal Court,false,2
"Five articles from around The Times, narrated just for you.",true,2
"The Long Island jury convicted Michael Valva of second-degree murder for killing his 8-year-old son, Thomas, who contracted hypothermia when he was made to stay in a freezing garage.",true,11
News clip showing Herschel Walker with early lead in Georgia U.S. Senate runoff is evidence of fraud.,false,12
Cleansing foot pads detoxify the body,false,4
A sweeping bill that would enact the strongest restrictions on Big Tech companies in the United States has been stalled in the Senate.,true,8
Ballots are “mailed unconstitutionally” to every voter in Colorado.,false,10
"American taxpayer dollars provide “free housing, free medical, free state identification” to immigrants in the country illegally.",false,1
"The muck is slowing Ukraine’s advance, but fighting remains intense in the east and the south.",true,10
"Florida lawmakers are reportedly working to resolve their political fight with Disney, just days after Mr. Iger returned as the entertainment giant’s chief executive.",true,12
"The CDC revealed that ""over 75%"" of all COVID-19 deaths ""occurred in people who had at least four comorbidities.",false,1
BLM protesters caused $2 billion worth of damage and faced no consequences,false,2
"Take on Bukhuti Gurgenidze in a recreation of a 24th U.S.S.R. Championship game in Moscow, 1957. Solve for the best series of moves.",true,8
Sheena Wagstaff revitalized the Met’s modern and contemporary art department and staked her legacy on experiments like the Met Breuer.,true,5
“Hillary is taken to Gitmo.”,false,2
96% of U.S. climate data is corrupted.,false,7
"The experimental comic is known for freewheeling sets. Then Bo Burnham asked, “What if you actually tried to make something?” The transition has been hard.",true,8
"A gorgeous snack drizzled with honey or a way to shuttle soups, stews or grilled meat from plate to mouth, this simple dish is the best kind of exercise in patience, Yewande Komolafe writes.",true,8
Says CNN reported Queen Elizabeth II died.,false,2
Chinese officer announced death penalty for not wearing a mask,false,3
Dead people always vote Democrat.,false,6
"Russian missiles hit a military base being used to train foreign volunteers who want to help Ukraine repel the invasion, killing a reported 35 people just 11 miles from the Polish border.",true,3
"Photographs accurately depicted world leaders at the 2022 NATO Summit visiting an exhibit with ""satanic"" artwork that featured gas masks and dead babies.",false,7
The last figure skating competition of the Beijing Games opened on Friday. The free skate is on Saturday.,true,2
"In 1963, Dutch businessman Alfred “Freddy” Heineken created a bottle that could also function as a brick to build houses in impoverished countries.",true,2
A law was passed in March 2022 permanently ending Daylight Saving Time in the United States.,false,11
"After months of repeated Russian strikes, Ukraine’s capital can no longer take electricity, water, heat, cell service or internet for granted. And the hum of generators is everywhere.",true,11
The judge’s order allows clinics to continue providing abortion services for now.,true,6
Player’s home in Cameroon attacked after Swiss World Cup goal,false,12
Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”,false,7
"A photograph shows a figurine of former U.S. President Donald Trump hanging on a cross behind U.S. Rep. Marjorie Taylor Greene, R-Ga.",false,7
Photo shows Rep. Adam Schiff and a “little boy he killed.”,false,12
Australian doctor told news programme that Queen Elizabeth II should use ivermectin to treat Covid-19,false,2
The Biden administration “is spending $30 million on crack pipes.”,false,2
"“In Arizona, we have flood the zone with fake ballots.”",false,8
"Face shields, Covid-19 tests, vaccine cards are required on election day",false,5
"A boy petted an unknown sea creature before realizing what it was and it ""shocked everyone.",false,1
"In a cover story for Vogue, Williams said she was “evolving away from tennis, toward other things that are important to me.”",true,8
"After micromanaging the coronavirus strategy for nearly three years, the country’s leader, Xi Jinping, has suddenly left the populace to improvise.",true,12
An extensive study published in the New England Journal of Medicine found that the most productive age in a person’s life is between 60 and 70 years old.,false,2
"“I’m just trying to get the hang of everything,” said Jamad Fiin, whose talents have upset people’s expectations of what a girl in a hijab can do.",true,8
"Parker Titsworth, a college football player for Ohio University, wears a jersey with the number 69 on it.",true,11
"A former archbishop of Bordeaux acknowledged that he had behaved “reprehensibly” with a 14-year-old girl over three decades ago, in the latest revelation to jolt Roman Catholics in France.",true,11
That the House panel did not provide the Justice Department with transcripts of Cassidy Hutchinson’s interviews speaks to the panel’s reluctance to turn over evidence.,true,6
"Disney theme parks have an ""Aladdin Exception"" rule that allows the actor portraying the character Aladdin to kill guests if absolutely necessary.",false,3
"Surveillance video from inside Robb Elementary School on May 24, 2022, showed a man in a protective vest marked ""Sheriff"" using hand sanitizer about an hour after the gunman entered the school and started firing.",true,7
“Finnish Court rules sex with children is permitted.”,false,4
"For months, the jail’s doctor has promoted the drug, which health experts say should not be used to treat or prevent Covid-19.",true,1
"It looked like another title might have slipped through its fingers, but Argentina, and its star, claimed the ultimate trophy.",true,12
Feeling stuck on today’s puzzle? We can help.,true,1
"Rev. Charles Stanley, an Atlanta pastor, endorsed CBD and keto oil and gummies.",false,7
The young American team came away with a scoreless draw against the 13th-ranked team in the world as it continues to tinker with its roster and tactics ahead of the World Cup.,true,6
The Transportation Administration Authority (TSA) allows immigrants living in the U.S. without authorization to use arrest warrants as government-issued identification at airport checkpoints.,false,3
A video shows a recent explosion in Ukraine,false,2
"Mentions of the phrase ""pregnant women"" were changed to ""pregnant people"" on a page about flu guidance on the CDC website.",true,11
"Karen Khachanov of Russia needed five sets to put Kyrgios away, 7-5, 4-6, 7-5, 6-7, 6-4. He will play Casper Ruud of Norway in the semifinals on Friday.",true,9
Answering a text message allows human traffickers to track your location,false,3
Video of men harassing Muslim women taken during Karnataka hijab row,false,2
"A black-and-white photograph taken in 1886 shows Jonathan, the oldest known land animal.",true,1
Video shows NASA astronaut Karen Nyberg in front of a green screen,false,9
Video shows crowd chanting “F--- Joe Biden” during Obama speech,false,10
"The Treasury Department is expected to let a sanctions carve-out lapse next week, raising the prospect of a Russian default.",true,5
"At the start of the COVID-19 pandemic, Judge Ketanji Brown Jackson advocated that “each and every criminal defendant in D.C. Corrections custody should be released.”",false,3
Video shows Elon Musk saying he intends to buy Meta,false,12
"Tesla told the federal regulator that rolling stops were allowed only at intersections when no cars, pedestrians or bicyclists were detected but agreed to disable the feature.",true,2
"In China, Russia and the United Kingdom, unmarked sheets of white paper have become a potent symbol of defiance.",true,12
"Commonly used to describe that extra something added to almost anything, the slang term has a centuries-long history.",true,1
Card balances have been rising rapidly. But there are ways to navigate the gift-giving season without taking on a lot of new debt.,true,11
The early playoff exit was a stunning end to a season that began with championship dreams behind Kevin Durant and Kyrie Irving.,true,4
